Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10,Overall Match Percentage
,2,2,0,0,"MS-Excel, MS-Office, MS-Word, C++ Programming, Data Analytics, Database Management System (DBMS), Machine Learning, Python, SQL, Statistics, Tableau, VHDL",24,Master of Technology (M.Tech),Nanotechnology,2017,88.50/100,75.70/100,73.80/73.80,88.40/88.40,87.5
,2,2,0,2,"CSS, Data Science, Deep Learning, HTML, Image Processing, Machine Learning, MySQL, Python, Algorithms, Artificial Intelligence, C++ Programming, Computer Vision, Data Analytics, Data Structures, Flask, GitHub, MS-PowerPoint, Mathematics, MongoDB, Neural Networks, REST API, SQL",24,Master of Data Science,Data Science And AI,2023,,,,,100.0
,2,2,2,1,"English Proficiency (Spoken), English Proficiency (Written), Artificial intelligence, C++ Programming, Data Analytics, Data Science, HTML, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, Deep Learning, NoSQL, R Programming, SQL",24,B.Tech,,2024,,9.12/10,92.00/92.00,90.60/90.60,100.0
,2,2,0,0,"C Programming, CSS, Cloud Computing, HTML, Machine Learning, Python, ReactJS",24,B.Tech,Computer Science & Engineering,2024,,,86.00/86.00,88.00/88.00,75.0
,2,2,2,2,"English Proficiency (Spoken), Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro, Business Analysis, Data Analytics, Data Science, Deep Learning, English Proficiency (Written), Machine Learning, Natural Language Processing (NLP), Python, SQL, Video Editing, Video Making",24,B.Tech,,2025,,,,,75.0
,2,2,2,1,"SQL, Data Analytics, Data Science, Machine Learning, Natural Language Processing (NLP), Python, Artificial Intelligence, Deep Learning",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2023,,8.30/10,65.00/65.00,90.00/90.00,75.0
,3,2,0,0,"Python, .NET, C Programming, Flask, HTML, JavaScript, MS-Excel, MS-Office, Machine Learning, MongoDB, MySQL, Postman, Selenium, GitHub, Java",24,Bachelor of Chemical Engineering,,2023,,,,,75.0
,2,2,2,1,"C Programming, Data Analytics, Data Science, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Data Structures, Deep Learning, Power BI",24,Master of Science (M.Sc),Mathemtaics With Computer Science,2023,,,,,100.0
,2,3,2,2,"Algorithms, Amazon Web Services (AWS), C++ Programming, Hindi Proficiency (Spoken), Machine Learning, Cloud Computing, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Flask, Natural Language Processing (NLP), Neural Networks, Python, Tableau, DevOps, Java",24,B.Tech,Computer Science With Specialization In Data Science,2024,,8.80/10,91.50/91.50,9.40/9.40,100.0
,2,2,0,1,"Data Analytics, Data Science, Django, Flask, Machine Learning, Python, R Programming, ReactJS, Deep Learning",24,B.Tech,,2024,,,,,100.0
,2,2,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python, SQL",24,Post Graduate Programme (PGP),Data Science And Statistics,2023,,,,,75.0
,2,2,0,0,"Mathematics, Statistics, MS-Excel, Machine Learning, Power BI, Python, R Programming, SQL",24,Master of Science (M.Sc),Data Analytics,2023,,,90.00/90.00,96.00/96.00,75.0
,2,2,0,1,"Django, HTML, Machine Learning, Python, REST API, Algorithms, Artificial Intelligence, C++ Programming, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, GitHub, Microsoft Azure, MongoDB, NoSQL, OpenCV, Power BI, SQL",24,Bachelor of Computer Applications (BCA),Artificial Intelligence & Internet Of Things,2023,,9.46/10,86.60/86.60,80.00/80.00,100.0
,2,3,0,0,"Machine Learning, Data Science, Python",24,Master of Science (M.Sc),Botany,2022,,,,,75.0
,1,0,0,0,"C++ Programming, CSS, Data Science, Java, Python, Salesforce",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2024,8.30/9,,,,75.0
,2,1,0,1,"CSS, HTML, C Programming, JavaScript, MATLAB, Python, Deep Learning, Machine Learning",24,B.Tech,Artificial Intelligence,2024,,,,,75.0
,2,3,0,2,"Machine Learning, ASP.NET, C Programming, C#.NET, Deep Learning, HTML, MS-Excel, MySQL, Python, Bootstrap, CSS, Tableau, WordPress",24,Bachelor of Science (B.Sc),Information Technology,2020,,,57.60/57.60,,75.0
,3,2,0,1,"Python, C Programming, Data Analytics, Django, Java, Machine Learning, SQL, Deep Learning",24,B.Tech,Computer Science & Engineering,2024,,,9.40/9.40,9.70/9.70,87.5
,3,3,2,2,"Machine Learning, Python, Artificial Intelligence, C Programming, Data Analytics, Data Science, Data Structures, Deep Learning, Java, Natural Language Processing (NLP), R Programming, SQL",24,Bachelor of Technology (B.Tech),Artificial Intelligence And Machine Learning,2024,7.40/10,,,,100.0
,2,3,0,0,"MS-PowerPoint, MS-Word, Machine Learning, BIG DATA ANALYTICS, Canva, Python, C Programming, Hadoop, MongoDB, NoSQL, SQL",24,B.Tech,Artificial Intelligence And Data Science,2024,,9.04/10,,,87.5
,2,2,0,2,"Adobe Photoshop, C Programming, C++ Programming, Data Science, Data Structures, Deep Learning, Git, Java, JavaScript, Machine Learning, MongoDB, Neural Networks, Node.js, Postman, Python, ReactJS, SQL, Adobe Illustrator, DevOps",24,B.Tech,Science,2023,,,88.00/88.00,93.00/93.00,100.0
,3,3,3,2,"Algorithms, Artificial intelligence, Data Analytics, Data Science, Data Structures, English Proficiency (Spoken), English Proficiency (Written), HTML, Machine Learning, Mathematics, MySQL, Natural Language Processing (NLP), Neural Networks, NoSQL, Python, SQL, Statistics, C Programming, Deep Learning, Java",24,Bachelor of Technology (B.Tech),Computer Science,2024,,,9.88/9.88,10.00/10.00,100.0
,2,2,2,2,"Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL, Data Analytics",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2020,8.07/10,,91.83/91.83,85.60/85.60,75.0
,2,0,0,0,"Adobe XD, Blockchain, C++ Programming, Catia, Data Science, Java, JavaScript, MySQL, Node.js, Python, R Programming, SolidWorks, Solidity, UI & UX Design, Webflow",24,B.Tech,Data Science,2024,,7.60/10,,,75.0
,2,2,2,2,"MS-Excel, MS-Office, Arduino, C Programming, CSS, Deep Learning, HTML, Internet of Things (IoT), Java, MATLAB, Machine Learning, Natural Language Processing (NLP), Python, JavaScript, SQL",24,B.Tech,Electronics and Communication,2023,,8.76/10,95.00/95.00,9.70/9.70,75.0
,1,2,0,1,"CSS, HTML, JavaScript, Machine Learning, Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Python, ReactJS",24,Bachelor of Engineering (B.E),Information Technology,2024,8.00/8,,64.00/64.00,87.40/87.40,75.0
,3,3,3,3,"Deep Learning, Flask, Hadoop, JavaScript, Machine Learning, Natural Language Processing (NLP), Node.js, Power BI, Python, R Programming, REST API, ReactJS, SQL, Statistical Modeling, Statistics, Tableau, BIG DATA ANALYTICS, English Proficiency (Spoken), English Proficiency (Written), HTML, Linux, MS-Excel, MS-Office, MS-Word, Amazon Web Server (AWS), MS-PowerPoint",24,Master of Science (M.Sc),Economics,2023,8.16/10,8.10/10,82.20/82.20,84.40/84.40,87.5
,3,3,0,0,"Artificial Intelligence, Java, Machine Learning, MySQL, Python, .NET, Amazon Web Server (AWS), C Programming, C++ Programming, CSS, Cloud Computing, Data Structures, HTML, JavaScript, MS-Excel, MS-Word, React Native, Software Testing, Blockchain, C#",24,Master of Computer Applications (MCA),COMPUTER,2023,86.00/100,,63.20/63.20,,87.5
,2,2,0,2,"Content Writing, C++ Programming, CSS, Data Science, Deep Learning, HTML, Machine Learning, MongoDB, Python, Canva, Flask, JavaScript",24,Bachelor of Technology (B.Tech),Metallurgical & Materials Engineering,2025,,7.84/10,92.40/92.40,,100.0
,3,3,1,2,"Data Science, Machine Learning, Python, Artificial intelligence, C Programming, Deep Learning, GitHub, MySQL, Natural Language Processing (NLP)",24,Bachelor of Technology (B.Tech),Computer Science & Technology,2024,,8.00/10,,,100.0
,3,1,0,0,"Python, C++ Programming, Data Analytics, HTML, Java, MS-Excel, SQL, Data Science, JavaScript, Machine Learning",24,B.Tech,Computer Science & Engineering,2024,,8.20/10,,,100.0
,2,2,0,0,"Data Analytics, C++ Programming, CSS, English Proficiency (Written), HTML, Machine Learning, Python, C Programming",24,Bachelor of Technology (B.Tech),Computer Science,2023,,76.00/100,7.60/7.60,7.80/7.80,87.5
,2,2,0,2,"Figma, AutoCAD, Data Science, Deep Learning, Machine Learning, Python, SQL, Tableau, MATLAB",24,Integrated B.Tech & M.Sc,Economics,2025,,7.53/10,9.62/9.62,,75.0
,2,2,2,2,"American English, English Proficiency (Spoken), English Proficiency (Written), VS Code, Algorithms, C Programming, Data Analytics, Data Science, Data Structures, Deep Learning, Git, Git Bash, GitHub, Java, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, C++ Programming",24,B.Tech,Computer Science,2024,,7.86/10,88.67/88.67,93.67/93.67,100.0
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Neural Networks, C++ Programming, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, Flutter, Machine Learning, Natural Language Processing (NLP), OpenCV, Python, SQL, Statistics, Git Bash, Git SVN, Power BI",24,B.Tech,Electronics and Communication,2025,,,93.80/93.80,91.20/91.20,100.0
,2,2,0,2,"C++ Programming, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, SQL, Django, Node.js",24,B.Tech,Computer Science & Engineering,2024,,,,,75.0
,3,3,3,2,"Data Science, Machine Learning, Natural Language Processing (NLP), Python, Data Analytics, Deep Learning, Neural Networks, Power BI, SQL",24,Bsc,cs,2019,,,,,75.0
,3,2,2,2,"Python, Data Analytics, Data Science, Deep Learning, Git, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), SQL",24,B.Tech,Information Technology,2025,,,84.00/84.00,,75.0
,2,2,0,2,"English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marathi Proficiency(Spoken), Marathi Proficiency(Written), VS Code, BIG DATA ANALYTICS, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, English Proficiency (Spoken), MS-Excel, Machine Learning, Power BI, Python, SQL, Statistics, Django, Flask",24,Bachelor of Engineering (B.E),B.E. Computer,2023,,,,,75.0
,3,2,2,2,"Data Analytics, MS-Excel, Python, SQL, Data Science, Deep Learning, Git, Machine Learning, Natural Language Processing (NLP), R Programming",24,B.Tech,computer science,2014,,,,,100.0
,3,3,0,0,"Data Science, Django, Image Processing, Machine Learning, Python, SQL, Unity 3D, Arduino, C Programming, Java, PostgreSQL",24,Bachelor of Technology (B.Tech),Computer Science,2023,,8.59/10,,,100.0
,2,1,0,0,"C++ Programming, Data Structures, MS-PowerPoint, MySQL, Python, Artificial Intelligence, Data Science, MS-Excel, Machine Learning",24,Bachelor of Technology (B.Tech),Computer Science,2025,,7.58/10,78.60/78.60,87.40/87.40,100.0
,2,2,0,2,"Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), FastAPI, Hadoop, MS-Excel, Machine Learning, MySQL, Python, SQL, Statistics, REST API, Tableau",24,B.Tech,Data Science,2024,,7.85/10,72.00/72.00,77.00/77.00,75.0
,2,2,0,0,"MS-Word, Statistics, Data Science, MS-Excel, MS-PowerPoint, Machine Learning, Python, R Programming, Power BI",24,Master of Science (M.S.),Statistics,2023,7.52/10,83.73/100,63.23/63.23,91.20/91.20,100.0
,2,2,1,1,"C++ Programming, Data Science, Machine Learning, Python, R Programming, Artificial Intelligence, Deep Learning, Natural Language Processing (NLP)",24,B.Tech,Mathematics and Computing,2024,,,93.40/93.40,9.60/9.60,100.0
,3,2,0,0,"Image Processing, Python, Artificial intelligence, Computer Vision, Data Science, Google Cloud Computing, Machine Learning, Robotic Process Automation (RPA)",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2019,,6.79/7,66.60/66.60,,75.0
,1,2,0,0,"C++ Programming, CSS, Data Structures, HTML, Java, Machine Learning, C Programming, JavaScript, Python",24,B.Tech,Information Technology,2023,,8.40/10,92.60/92.60,95.00/95.00,87.5
,3,3,2,2,"Computer Vision, Data Science, English Proficiency (Spoken), English Proficiency (Written), HTML, Linux, MS-Excel, Machine Learning, MySQL, Neural Networks, Power BI, Python, SQL, Tableau, Amazon Web Services (AWS), CSS, Data Analytics, Data Structures, Deep Learning, GitHub, Google Cloud Computing, Natural Language Processing (NLP), Cloud Computing",24,Master of Computer Applications (MCA),Artificial Intelligence,2023,,7.30/10,9.40/9.40,9.30/9.30,75.0
,3,3,0,2,"English Proficiency (Spoken), Machine Learning, Python, C Programming, C++ Programming, Deep Learning, Django, JavaScript, MS-Excel, MySQL, BIG DATA ANALYTICS",24,Bachelor of Technology (B.Tech),Information Technology,2024,,8.23/10,,,87.5
,2,2,2,2,"C Programming, CSS, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, HTML, Machine Learning, MongoDB, Natural Language Processing (NLP), Python, SQL, C++ Programming",24,Bachelor of Technology (B.Tech),Data Science,2024,8.28/10,,69.85/69.85,67.40/67.40,100.0
,3,3,2,3,"Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Flask, GitHub, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Mathematics, Python, Tableau, Teaching, CSS, Data Analytics, Data Science, Django, HTML, Natural Language Processing (NLP), Power BI, R Programming, SQL",24,,Information Technology,2022,,85.50/100,,,100.0
,3,0,2,0,"C Programming, CSS, Canva, Creative Writing, Data Science, Eclipse (IDE), English Proficiency (Spoken), English Proficiency (Written), Express.js, HTML, Java, JavaScript, MS-Excel, MS-Word, MongoDB, Node.js, Python, SQL, Statistics, UI & UX Design, UiPath, Blogging, C++ Programming, Linear Programming, Natural Language Processing (NLP), Neural Networks, PHP, ReactJS, WordPress",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2024,9.22/10,,93.40/93.40,92.70/92.70,75.0
,2,2,1,0,"Canva, Data Science, Data Structures, English Proficiency (Written), Flask, Java, MS-PowerPoint, Machine Learning, Python, Statistics, MS-Excel, Natural Language Processing (NLP), SQL",24,B.Tech,Chemical Engineering,2025,,8.31/10,94.00/94.00,95.00/95.00,75.0
,2,2,1,1,"C++ Programming, Creative Writing, Data Analytics, Data Science, Data Structures, English Proficiency (Written), Java, Machine Learning, MySQL, Python, ReactJS, CSS, Deep Learning, Django, Embedded Systems, HTML, JavaScript, MongoDB, Natural Language Processing (NLP), Node.js, REST API, Raspberry Pi, SQL",24,B.Tech,Computer Science & Engineering,2024,,,86.00/86.00,89.00/89.00,100.0
,2,3,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, SQL, Tableau, Python",24,B.Tech,Electrical and Electronics Engineering,2022,,9.40/10,,,75.0
,3,0,0,0,"Canva, Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), LaTeX, MS-Word, Mathematics, Python, R Programming, Statistical Modeling, Statistics, MS-Excel, MS-PowerPoint, SQL",24,Master of Science (M.Sc),Statistics With Data Science,2023,,,,,75.0
,2,1,0,1,"English Proficiency (Written), MS-Word, C Programming, CSS, Data Analytics, Data Science, HTML, MS-Excel, MS-Office, MySQL, Python, Deep Learning, JavaScript, Machine Learning",24,B.Tech,Computer Science And Engineering(data Science),2024,,,91.00/91.00,96.20/96.20,100.0
,3,2,2,2,"Python, Deep Learning, Machine Learning, Mathematics, Natural Language Processing (NLP), Computer Vision, Data Analytics, Data Science, Tableau",24,Master of Computer Applications (MCA),Data Science,2023,,,,,75.0
,2,2,1,1,"Data Science, Machine Learning, Mathematics, Python, SQL, Computer Vision, Data Analytics, Deep Learning, FastAPI, Git, GitHub, Java, MS-Excel, MS-Office, Natural Language Processing (NLP), Power BI, R Programming, Statistics, Tableau",24,Bachelor of Science (B.Sc),Computer Science,2023,,,68.20/68.20,,100.0
,3,2,0,2,"C Programming, English Proficiency (Spoken), MS-Excel, MySQL, Python, Deep Learning, Machine Learning, Power BI, Tableau",24,B.Tech,Computer Science & Engineering,2025,,8.98/10,9.00/9.00,10.00/10.00,75.0
,3,2,2,0,"Python, Artificial Intelligence, Computer Vision, Data Science, Machine Learning, Natural Language Processing (NLP)",24,Master of Science (M.Sc),computer science,2024,,,,,75.0
,3,2,0,3,"Deep Learning, Python, Algorithms, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Django, GitHub, HTML, Machine Learning, MongoDB, MySQL, OpenCV, PostgreSQL, SQL, JavaScript",24,B.Tech,Computer Science,2024,,7.00/10,80.00/80.00,,75.0
,2,1,2,2,"C++ Programming, Ethical Hacking, C Programming, Data Structures, Deep Learning, DevOps, Linux, Natural Language Processing (NLP), Python, SQL, Machine Learning",24,B.Tech,Computer Science & Engineering,2024,,8.02/10,,,87.5
,2,1,0,0,"C Programming, HTML, Hindi Proficiency (Spoken), Hindi Proficiency (Written), C++ Programming, CSS, Creative Writing, English Proficiency (Written), Figma, Java, JavaScript, Python, English Proficiency (Spoken), Machine Learning",24,Bachelor of Technology (B.Tech),computer science,2024,,,,,75.0
,1,1,0,0,"HTML, MS-Office, CSS, English Proficiency (Spoken), GitHub, Java, LaTeX, MS-Excel, MS-PowerPoint, MS-Word, Photography, SQL, Adobe Illustrator, Adobe Photoshop, Bootstrap, C Programming, Content Writing, Git, JavaScript, MATLAB, Machine Learning, Music, Python, VS Code",24,B.Tech,Civil Engineering,2024,,6.60/10,,,75.0
,2,2,0,2,"Algorithms, C++ Programming, Data Structures, Deep Learning, Machine Learning, Python, CSS, HTML",24,Bachelor of Technology (B.Tech),,2025,7.43/10,,96.00/96.00,94.00/94.00,87.5
,2,2,1,0,"Java, Machine Learning, Power BI, Python, Data Science, Flask, Natural Language Processing (NLP), SQL",24,B.Tech,Computer Science & Engineering,2024,,,,,75.0
,2,2,0,0,"MS-Word, Marathi Proficiency(Spoken), Music, C Programming, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Guitar, HTML, MS-Excel, MS-PowerPoint, Machine Learning, Python, CSS, JavaScript, PHP, R Programming, Visual Basic (VB)",24,B.Tech,Artificial Intelligence,2025,,,,,75.0
,1,1,0,0,"Hindi Proficiency (Spoken), English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Machine Learning, Python",24,Bachelor of Computer Applications (BCA) (Hons.),AI/DA,2025,8.72/10,,81.80/81.80,87.80/87.80,100.0
,2,2,2,0,"Amazon Web Services (AWS), Data Analytics, Data Science, Hadoop, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Statistical Modeling, Tableau",24,Post Graduate Diploma,,2022,,,,,75.0
,2,1,0,0,"Artificial Intelligence, Python, C++ Programming, Data Structures, Machine Learning",24,B.Tech,Artificial Intelligence And Data Science,2025,,,,94.00/94.00,87.5
,3,2,0,2,"C++ Programming, Data Structures, Java, MS-Excel, MySQL, Python, Android, Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Embedded Systems, Kotlin, Machine Learning",24,Integrated B.E & M.Tech,Ai&Ml,2024,,7.50/8,,,100.0
,2,1,0,0,"Python, Angular 7.0, Data Science, Machine Learning",24,Bachelor of Computer Science (B.C.S.),computer science,2016,,73.63/100,53.67/53.67,73.60/73.60,75.0
,3,3,0,3,"Artificial Intelligence, BIG DATA ANALYTICS, C Programming, C++ Programming, Computer Vision, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, Machine Learning, Mathematics, Python, Statistical Modeling, Google Cloud Computing",24,B.Tech,Mechanical Engineering,2024,,8.20/10,95.00/95.00,98.80/98.80,100.0
,3,3,2,2,"Business Analysis, Data Analytics, Data Science, MS-Excel, MS-Office, Machine Learning, Power BI, Python, SQL, Artificial Intelligence, Computer Vision, Deep Learning, Natural Language Processing (NLP), Neural Networks",24,MBA,Data Science,2024,,,,,75.0
,1,1,0,0,"CSS, Data Analytics, Data Science, HTML, MS-Office, Artificial Intelligence, Machine Learning, Python",24,Bachelor of Engineering (B.E),Artificial Intelligence And Data Science,2025,,9.40/10,86.67/86.67,80.60/80.60,75.0
,2,2,0,0,"C Programming, C++ Programming, Data Science, English Proficiency (Spoken), English Proficiency (Written), MATLAB, Machine Learning, PostgreSQL, Python, SQL, CSS, HTML, WordPress",24,B.Tech,Computer Science,2025,,9.53/10,82.40/82.40,88.60/88.60,100.0
,2,2,0,0,"Computer Vision, Machine Learning, Python, Data Science, Video Editing",24,Bachelor of Technology (B.Tech),Electronics and Communication,2020,,60.00/100,,,75.0
,3,3,2,0,"Data Science, English Proficiency (Spoken), Hindi Proficiency (Spoken), Machine Learning, Python, Statistical Modeling, Data Analytics, Data Structures, Image Processing, Natural Language Processing (NLP), R Programming",24,Master of Science (M.Sc),Information Technology (Data Science),2023,9.50/10,8.01/10,86.20/86.20,89.70/89.70,100.0
,2,0,0,0,"Artificial Intelligence, C Programming, C++ Programming, Data Science, HTML, Java, Linux, Python",24,B.Tech,Computer Science & Engineering,2025,,,,,75.0
,1,0,0,0,"C Programming, CSS, Data Structures, HTML, Java, JavaScript, Data Science, Python",24,B.Tech,Information science and engineering,2024,,7.82/10,81.50/81.50,,75.0
,3,3,0,0,"Data Analytics, Data Science, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Python, C++ Programming, CSS, HTML, Power BI, SQL",24,B.Tech,Metallurgical And Materials Science,2023,,,75.00/75.00,90.00/90.00,100.0
,2,2,1,2,"Artificial intelligence, Computer Vision, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Python, SQL, Tableau, Natural Language Processing (NLP), Statistics",24,Bachelor of Science (B.Sc),Computer Science,2023,,9.00/10,59.00/59.00,80.00/80.00,75.0
,3,2,2,2,"Image Processing, MS-Excel, Python, C Programming, C++ Programming, Data Analytics, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV",24,B.Tech,Engineering Physics,2024,,,94.20/94.20,90.60/90.60,87.5
,2,1,0,0,"C Programming, C++ Programming, Java, Python, Machine Learning, SQL",24,B.Tech,computer science,2023,,8.61/10,91.20/91.20,10.00/10.00,75.0
,2,2,2,0,"MS-Excel, SQL, Business Analysis, Data Analytics, Data Science, Machine Learning, Natural Language Processing (NLP), Power BI, Python, Neural Networks, Tableau",24,B.Tech,,2015,,,,,75.0
,3,2,3,2,"Natural Language Processing (NLP), Python, SQL, C++ Programming, Data Science, Deep Learning, Django, Machine Learning, Neural Networks",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2020,,7.50/10,,,100.0
,3,2,0,2,"CSS, Data Analytics, Data Science, Data Structures, HTML, MS-Excel, Python, Deep Learning, Django, Machine Learning, Power BI, SQL",24,B.Tech,Electronics and Telecommunication Engineering (ETE),2022,,8.08/10,,68.40/68.40,75.0
,3,2,1,0,"Data Structures, Database Management System (DBMS), Python, SQL, Data Analytics, Data Science, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Tableau, Natural Language Processing (NLP)",24,B.Tech,Computer Science & Engineering,2024,,8.21/10,9.69/9.69,,75.0
,0,2,1,0,"Data Structures, Java, MS-Excel, MS-Word, Machine Learning, C Programming, Data Analytics, Data Science, MS-Office, Natural Language Processing (NLP), Software Testing",24,B.Tech,Computer Science & Engineering,2024,,,80.00/80.00,81.00/81.00,75.0
,2,2,2,0,"Algorithms, C++ Programming, Data Analytics, Data Science, Data Structures, MS-Excel, Machine Learning, Natural Language Processing (NLP), Product Management, Python, SQL",24,B.Tech,Mining Engineering,2024,,8.54/10,84.00/84.00,10.00/10.00,100.0
,2,2,0,2,"Data Science, Deep Learning, Machine Learning, Python, Java, ReactJS",5,B.Tech,Computer Science,2024,,,,,75.0
,2,2,1,1,"MS-Excel, MS-Office, MySQL, Data Analytics, Data Science, Machine Learning, Neural Networks, Power BI, Python, SQL, Deep Learning, Natural Language Processing (NLP)",24,M.Sc (Information Technology),Data Science,2023,,,,,75.0
,3,2,1,2,"Python, Algorithms, Artificial Intelligence, C++ Programming, Deep Learning, Machine Learning, Marketing Campaigns , Operations, SQL, Image Processing, Natural Language Processing (NLP)",24,B.Tech,Computer Science With Specialization In AI And ML,2025,,,,,75.0
,3,2,0,0,"C Programming, C++ Programming, Java, Python, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Machine Learning, SQL, JavaScript, Node.js, ReactJS, UI & UX Design",24,B.Tech,Computer Science & Engineering,2025,8.29/10,,,,100.0
,3,3,0,0,"Data Science, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Python, SQL, Tableau",24,Bachelor of Technology (B.Tech),Electronics and Telecommunication Engineering (ETE),2019,,60.00/100,70.00/70.00,60.00/60.00,75.0
,1,1,1,1,"Data Science, Photography, Data Structures, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), Python",24,Master of Computer Applications (MCA),Data Science,2024,,,60.00/60.00,,75.0
,3,0,0,0,"C++ Programming, HTML, Python, Bootstrap, CSS, English Proficiency (Spoken), English Proficiency (Written), Java, JavaScript, Project Management, ReactJS, Data Science, UI & UX Design",24,B.Tech,,2024,,,,,75.0
,2,1,0,0,"Data Structures, HTML, C Programming, CSS, Copywriting, Data Science, Database Management System (DBMS), PHP, Python, SQL, WordPress, Adobe Photoshop, Artificial Intelligence, Machine Learning",24,B.Tech,computer science,2025,,,92.80/92.80,96.20/96.20,100.0
,2,2,2,2,"Data Analytics, Data Science, Data Structures, Deep Learning, Machine Learning, Natural Language Processing (NLP), OpenCV, Python, SQL, Linux",24,Master of Technology (M.Tech),Signal Processing Machine Learning,2023,,8.01/10,,,75.0
,2,2,0,2,"MS-Excel, Mathematics, Adobe Photoshop, Algorithms, Angular 2.0, Angular 7.0, AngularJS, Artificial Intelligence, Blogging, Bootstrap, C Programming, CSS, Computer Vision, Content Writing, Creative Writing, Data Science, Data Structures, Deep Learning, Django, English Proficiency (Spoken), English Proficiency (Written), Figma, GitHub, HTML, Internet of Things (IoT), Java, JavaScript, LaTeX, MS SQL Server, MS-PowerPoint, MS-Word, Machine Learning, MySQL, Neural Networks, Node.js, PHP, PostgreSQL, Python, ReactJS, Research and Analytics, SQL, Search Engine Optimization (SEO), Social Media Marketing, Software Testing, Tableau, Video Making, WordPress, C++ Programming, Data Analytics, MATLAB",24,B.Tech,,2024,,9.00/10,,,100.0
,2,2,0,2,"Artificial Intelligence, C++ Programming, Deep Learning, Machine Learning, Python",24,Master of Technology (M.Tech),Artificial Intelligence,2023,,,,,75.0
,2,1,0,0,"C Programming, HTML, Java, MySQL, Python, Android, C++ Programming, CAD, CSS, Creative Writing, English Proficiency (Spoken), JavaScript, Kotlin, Machine Learning, Photography",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2024,8.78/10,,85.00/85.00,90.40/90.40,75.0
,2,3,0,0,"Embedded Systems, Internet of Things (IoT), MS-Word, Machine Learning, Neural Networks, C Programming, HTML, Python",24,B.Tech,Electronics Engineering,2022,,8.92/9,,,75.0
,3,1,0,0,"HTML, Python, Algorithms, Android, C Programming, C++ Programming, CSS, Data Structures, Figma, Google Cloud Computing, Java, JavaScript, Kotlin, MS-Office, MySQL, ReactJS, UI & UX Design, WordPress, Machine Learning",24,B.Tech,,2025,,,,,87.5
,2,3,0,2,"Data Analytics, Machine Learning, Data Science, Deep Learning, Python, R Programming, Tableau",24,B.Tech,Artificial Intelligence And Data Science Engineering,2024,7.94/8,,52.00/52.00,90.60/90.60,100.0
