Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10,Overall Match Percentage
,3,2,2,2,"C++ Programming, Computer Vision, Image Processing, MS-Office, MS-PowerPoint, Mathematics, Neural Networks, OpenCV, Python, Report Writing, Research and Analytics, SQL, Algorithms, American English, Artificial intelligence, Business Analysis, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Flask, Google Analytics, Java, JavaScript, MS-Excel, Machine Learning, MongoDB, MySQL, Natural Language Processing (NLP), NoSQL, Power BI, R Programming, REST API, Statistical Modeling, Tableau, Amazon Web Server (AWS), Amazon Web Services (AWS), Django, Hadoop, Node.js",24,B.Tech,Computer Science & Engineering,2024,,9.33/100,79.00/79.00,,100.0
,3,2,2,2,"Algorithms, C Programming, C++ Programming, Data Analytics, Data Science, MS-Excel, Mathematics, Python, SQL, CSS, Data Structures, Deep Learning, Machine Learning, Natural Language Processing (NLP), JavaScript",24,B.Tech,Computer Science,2022,,70.00/100,61.00/61.00,71.00/71.00,100.0
,2,2,1,2,"Data Science, Deep Learning, Machine Learning, Python, SQL, C Programming, Flutter, Java, Natural Language Processing (NLP)",24,B.Tech,,2024,,,9.22/9.22,9.80/9.80,100.0
,3,3,2,3,"Computer Vision, Data Structures, Database Management System (DBMS), Deep Learning, Machine Learning, Mathematics, Python, SQL, C++ Programming, Natural Language Processing (NLP)",24,B.Tech,,2023,,,,,87.5
,2,2,2,1,"Data Analytics, Data Science, Machine Learning, MySQL, Natural Language Processing (NLP), Python, SQL, Data Structures, Deep Learning",24,B.Tech,Information Technology,2023,,8.00/10,55.80/55.80,71.00/71.00,75.0
,2,2,2,2,"Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Power BI, Python, R Programming, Statistics, Tableau",24,Bachelor Of Engineering,Information Science,2013,3.00/5,,,,100.0
,1,2,1,1,"Machine Learning, Data Analytics, Data Science, Deep Learning, MS-Excel, MySQL, Natural Language Processing (NLP), Python, SQL, Statistics, Tableau",24,Bachelor of Technology (B.Tech),Artificial Intelligence And Data Science,2024,,,,,75.0
,3,3,3,2,"Data Analytics, Data Science, Machine Learning, Natural Language Processing (NLP), Python, C++ Programming, Deep Learning, JavaScript, Neural Networks, SQL, CSS, HTML",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,,,,,100.0
,2,2,2,2,"MS-Excel, Data Analytics, Data Science, Data Structures, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Python, SQL, Tableau",24,Advanced Certification In Data Science,Data Science,2023,,9.33/100,84.00/84.00,,75.0
,2,2,1,1,"Data Analytics, Data Science, Data Structures, Java, JavaScript, Machine Learning, Python, SQL, Tableau, Artificial intelligence, Deep Learning, Natural Language Processing (NLP)",24,B.Tech,Computer Science,2023,,9.09/10,91.00/91.00,90.00/90.00,75.0
,3,2,2,2,"Python, Computer Vision, Data Analytics, Data Science, Deep Learning, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2022,,71.00/100,,,75.0
,3,3,2,2,"Data Science, MS-Excel, Machine Learning, Power BI, Python, Statistical Modeling, Computer Vision, Data Analytics, Deep Learning, Natural Language Processing (NLP), SQL",24,Bachelor of Science (B.Sc),Computer Science,2020,,6.40/10,8.40/8.40,8.20/8.20,75.0
,3,3,3,3,"Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, Computer Vision, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Neural Networks, Power BI, SQL",24,Bachelor of Engineering (B.E),Information Technology,2023,,,72.15/72.15,,75.0
,2,1,2,1,"Data Analytics, Data Science, Image Processing, Linux, Natural Language Processing (NLP), Neural Networks, OpenCV, Python, Computer Vision, Deep Learning, Machine Learning",24,B.Tech,Electronics and Communication,2023,,8.52/10,,,75.0
,3,3,2,2,"Data Analytics, Data Science, MS-Excel, MS-Office, Machine Learning, Python, SQL, C Programming, Data Structures, Database Management System (DBMS), Deep Learning, GitHub, Natural Language Processing (NLP), Tableau",24,Bachelor of Computer Applications (BCA),Data Science,2023,,9.02/10,94.00/94.00,,100.0
,2,2,1,2,"Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Data Science, Natural Language Processing (NLP), Neural Networks",24,Bachelor of Technology (B.Tech),Chemical Engineering,2025,,6.88/10,82.20/82.20,94.40/94.40,75.0
,2,2,1,2,"C Programming, Flutter, Kotlin, XML, Artificial Intelligence, C++ Programming, Dart, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Image Processing, Java, Machine Learning, Python, Computer Vision, Mathematics, Natural Language Processing (NLP)",24,B.Tech,Information Technology,2024,,,89.80/89.80,88.60/88.60,100.0
,2,2,2,2,"Algorithms, Artificial Intelligence, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Python, SQL, SQLite, Statistics, Amazon Web Server (AWS), Flask",24,Bachelor of Commerce (B.Com),Commerce,2019,68.00/100,,,,75.0
,3,2,1,2,"English Proficiency (Written), Python, BIG DATA ANALYTICS, C++ Programming, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), HTML, Hindi Proficiency (Spoken), Java, MS-Word, Machine Learning, Marathi Proficiency(Spoken), MySQL, Neural Networks, Postman, SQL, Artificial Intelligence, C Programming, CSS, MS-Excel, MongoDB, Natural Language Processing (NLP), R Programming, Tableau",24,Bachelor of Engineering (B.E),Information Technology,2024,,9.60/10,66.62/66.62,83.80/83.80,100.0
,2,1,2,1,"Creative Writing, Digital Art, Social Media Marketing, Adobe After Effects, Adobe Illustrator, Adobe Indesign, Adobe Photoshop, Adobe Premiere Pro, Adobe XD, Data Analytics, Data Science, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Figma, MS-Excel, Natural Language Processing (NLP), Power BI, Python, SQL, Tableau, UI & UX Design, Wireframing, Animation, Autodesk Fusion 360, Autodesk Revit, Computer Vision, Deep Learning, Machine Learning, MongoDB, Search Engine Optimization (SEO)",24,Bachelor of Technology (B.Tech),Electrical Engineering,2023,,7.50/9,,,75.0
,3,2,1,2,"Data Science, Python, Selenium, Deep Learning, Machine Learning, MongoDB, MySQL, Natural Language Processing (NLP)",24,Bachelor of Science (B.Sc),,2023,,,,,75.0
,2,2,2,1,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Word, Mathematics, SQL, Artificial Intelligence, C Programming, C++ Programming, CSS, Data Analytics, Data Science, Data Structures, HTML, Java, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, Python, Computer Vision, Deep Learning, JSP, Servlets, Spring MVC",24,B.Tech,Computer Science,2024,,3.60/4,85.00/85.00,85.00/85.00,100.0
,3,3,2,3,"C++ Programming, Computer Vision, Data Analytics, Deep Learning, Machine Learning, Python, SQL, Data Science, Docker, Flask, Git, MATLAB, Manual Testing, Natural Language Processing (NLP), PostgreSQL",24,B.Tech,Computer Science,2024,,,,,100.0
,3,3,2,3,"Computer Vision, Deep Learning, English Proficiency (Written), Machine Learning, Python, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Natural Language Processing (NLP), SQL, Statistics",24,B.Tech,Computer Science & Engineering,2024,,7.52/10,,,75.0
,2,2,1,1,"C Programming, Digital Signal Processing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Neural Networks, Python, Adobe Photoshop, C++ Programming, Computer Vision, Data Science, Deep Learning, GNU Octave, Image Processing, MATLAB, Natural Language Processing (NLP)",24,B.Tech,Electronics and Communication,2024,,,,,100.0
,2,2,2,2,"Algorithms, Android, Artificial Intelligence, Dart, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Flutter, Golang, Java, Machine Learning, Natural Language Processing (NLP), Python, BIG DATA ANALYTICS, Cloud Firestore, Firebase, iOS",8,Bachelor of Technology (B.Tech),Computer Science & Engineering,2025,,9.23/10,,,75.0
,2,2,1,2,"HTML, Adobe Photoshop, Algorithms, Artificial intelligence, CSS, Deep Learning, JavaScript, MS SQL Server, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, MySQL, Neural Networks, Photography, Python, Video Editing, C Programming, Django, MATLAB, MongoDB, Natural Language Processing (NLP), R Programming",24,Bachelor of Technology (B.Tech),Computer Science & Engineering (AI & ML),2024,,,84.20/84.20,,75.0
,2,2,2,2,"Data Science, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, SQL, Statistics",24,Bachelor of Science (B.Sc) (Hons.),Science,2022,,85.00/100,8.10/8.10,,75.0
,3,2,1,2,"C Programming, LaTeX, Neural Networks, Python, Computer Vision, Data Structures, Deep Learning, Git, Image Processing, MATLAB, Machine Learning, OpenCV, SQL, Data Science, Docker, Flask, Natural Language Processing (NLP), REST API",24,B.Tech (Hons.),Electronics Engineering,2023,,9.30/10,90.15/90.15,89.20/89.20,100.0
,2,2,2,2,"Data Analytics, Computer Vision, Data Science, Deep Learning, MS-Excel, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, Python, R Programming, SQL, Statistics, Tableau, .NET, Amazon Web Services (AWS), Image Processing, OpenCV, Power BI",24,Bachelor of Engineering (B.E),,2019,,,,,100.0
,2,2,2,2,"Data Analytics, Data Science, Deep Learning, Flask, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, SQL",24,B.E Computer Science and Engineering (Artificial Intelligence and machine Learning),Computer Science,2023,,8.09/10,,52.00/52.00,75.0
,3,3,2,3,"Data Analytics, Deep Learning, Machine Learning, Python, Artificial intelligence, Business Analysis, Data Science, Java, Natural Language Processing (NLP), NoSQL, Power BI, R Programming, SQL, SAS",24,B.Tech (Hons.),Machine Learning,2023,,7.50/10,80.00/80.00,9.00/9.00,100.0
,1,1,1,1,"MS-Excel, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL, Selenium",24,PG Diploma in Data Science,"Machine Learning ,NLP And Deep Learning",2023,,,,,75.0
,2,2,2,2,"Artificial intelligence, Data Analytics, Data Science, Deep Learning, Docker, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL",24,B.Tech,MlAI,2023,,8.00/10,6.26/6.26,8.20/8.20,75.0
,3,2,2,2,"Data Science, MS-Excel, Python, R Programming, C Programming, Computer Vision, Data Analytics, Database Management System (DBMS), Deep Learning, MS-Office, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, SQL, Financial Modeling",24,Bachelor of Technology (B.Tech),Data Analytics,2023,,4.00/4,89.00/89.00,10.00/10.00,100.0
,2,2,1,1,"Arduino, CSS, Data Science, Data Structures, Embedded Systems, HTML, Internet of Things (IoT), Java, MEAN/MERN Stack, Machine Learning, MySQL, Postman, Python, REST API, ReactJS, SQL, Bootstrap, Deep Learning, Flask, Git, GitHub, JavaScript, MS-Excel, MongoDB, Natural Language Processing (NLP), Node.js, PCB Design, Redux",24,Bachelor of Technology (B.Tech),Electronics and Communication,2023,,7.87/10,92.80/92.80,10.00/10.00,75.0
,3,1,1,2,"C Programming, English Proficiency (Written), Python, .NET, Algorithms, CSS, Computer Vision, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), Java, JavaScript, MATLAB, R Programming, Artificial Intelligence, HTML, Machine Learning, Natural Language Processing (NLP), Neural Networks",24,B.Tech,Computer Science & Engineering,2025,8.00/8,,,,100.0
,3,3,2,3,"Data Analytics, Data Science, Deep Learning, JavaScript, Machine Learning, Power BI, Python, SQL, .NET, Artificial Intelligence, Computer Vision, Django, Natural Language Processing (NLP), R Programming",24,B.Tech,Data Science,2024,8.93/10,,8.70/8.70,,100.0
,2,2,1,1,"English Proficiency (Spoken), English Proficiency (Written), HTML, Business Research, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Java, JavaScript, MS-Excel, Machine Learning, Python, ReactJS, SQL, Tableau, Deep Learning, Flutter, Hadoop, Linux, MongoDB, Natural Language Processing (NLP)",24,B.Tech,Computer Science And Engineering( Data Science),2025,,9.08/10,98.00/98.00,97.20/97.20,100.0
,2,2,2,2,"Computer Vision, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL",24,B.Tech,Artificial Intelligence And Data Science,2024,,8.89/10,,,75.0
,2,2,2,2,"Amazon Web Server (AWS), BIG DATA ANALYTICS, English Proficiency (Written), MS-PowerPoint, MS-Word, MySQL, Neural Networks, Artificial Intelligence, Cloud Computing, Computer Vision, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), GitHub, Hadoop, Java, Linux, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Python, R Programming, Research and Analytics, SQL, Statistics, Tableau, Data Structures, Power BI",24,,Post Graduate Diploma In Big Data Analytics,2023,,,,,100.0
,3,2,2,3,"Adobe Photoshop, CSS, Data Analytics, Deep Learning, English Proficiency (Written), HTML, Java, MS-Excel, MySQL, NoSQL, Python, SQL, Tableau, Algorithms, Artificial Intelligence, BIG DATA ANALYTICS, C Programming, C++ Programming, Computer Vision, Creative Writing, Data Science, Data Structures, Database Management System (DBMS), Effective Communication, English Proficiency (Spoken), Linear Programming, MS-Office, Machine Learning, Mathematics, Natural Language Processing (NLP), Neural Networks, Parallel Thinking, Power BI",24,Bachelor of Technology (B.Tech),Computer Science & Engineering Data Science AI ML,2024,,,87.50/87.50,9.70/9.70,100.0
,3,2,2,2,"Data Structures, Database Management System (DBMS), Python, SQL, Cloud Computing, Computer Vision, Data Analytics, Data Science, Deep Learning, Django, HTML, Machine Learning, Natural Language Processing (NLP), Neural Networks, Shell Scripting",24,B.Tech,Computer Science & Engineering,2024,,9.44/10,89.80/89.80,,75.0
,2,2,1,1,"Data Science, Machine Learning, MySQL, Python, SQL, Data Analytics, Deep Learning, GitHub, Natural Language Processing (NLP), Neural Networks",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2021,,10.00/10,,,75.0
,2,2,2,2,"Data Analytics, MS-Excel, SQL, Data Science, Data Structures, Deep Learning, Machine Learning, MongoDB, Natural Language Processing (NLP), Python, Tableau, Java",24,B.Tech,Computer Science & Engineering,2023,,7.00/7,9.50/9.50,8.80/8.80,75.0
,3,3,2,3,"Deep Learning, MATLAB, Machine Learning, Python, Arduino, Artificial Intelligence, C++ Programming, Computer Networks, Data Structures, Database Management System (DBMS), Hadoop, Image Processing, MongoDB, Natural Language Processing (NLP), PostgreSQL, Raspberry Pi, Java",24,B.Tech,AI,2024,,8.13/10,,,87.5
,3,1,1,2,"Data Structures, Java, LARAVEL, Python, REST API, Spring MVC, C Programming, Deep Learning, MongoDB, SQL, Data Analytics, Django, Machine Learning, Natural Language Processing (NLP), OpenCV, Power BI",24,B.Tech,Computer Science & Engineering,2023,,,,10.00/10.00,87.5
,2,2,2,2,"Neural Networks, Android, C++ Programming, Data Analytics, Data Science, Deep Learning, GitHub, Java, Machine Learning, MySQL, Natural Language Processing (NLP), Python, SQL, Django, Kotlin, MS-Excel, UI & UX Design",24,B.Tech,Computer Science & Engineering,2024,9.24/10,,93.50/93.50,10.00/10.00,100.0
,3,3,3,2,"C Programming, Data Analytics, Data Science, Machine Learning, Natural Language Processing (NLP), Python, Android, C++ Programming, Computer Vision, Deep Learning, Image Processing, Java, OpenCV, SQL, Unity 3D",24,Integrated M.Sc.,Mathematics and Computing,2023,,9.05/10,,,100.0
,3,2,2,2,"C Programming, CSS, HTML, Java, MySQL, PostgreSQL, Python, Tableau, Angular 7.0, Bootstrap, Computer Vision, Data Analytics, Data Structures, Database Management System (DBMS), Deep Learning, Express.js, Flask, JavaScript, MS-Excel, Machine Learning, Natural Language Processing (NLP), Node.js, Power BI, R Programming, Raspberry Pi, SQL, AngularJS, Arduino, Data Science",9,B.Tech,Artificial Intelligence And Machine Learning (cse),2025,,9.60/10,89.60/89.60,95.80/95.80,100.0
,2,3,2,1,"Machine Learning, Algorithms, Artificial intelligence, Business Analysis, Data Analytics, Data Science, MongoDB, Natural Language Processing (NLP), Power BI, Python, SQL, Data Structures, Deep Learning, Financial Modeling, GitHub, Google Suite (G Suite), MATLAB, MySQL, NoSQL, R Programming, Statistical Modeling, Tableau",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,,7.60/10,78.00/78.00,8.20/8.20,100.0
,2,1,1,2,"HTML, Bootstrap, C Programming, C++ Programming, CSS, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Express.js, Java, JavaScript, MySQL, Neural Networks, Node.js, Python, SQL, Data Science, Machine Learning, Natural Language Processing (NLP), PHP, jQuery",24,Bachelor of Engineering (B.E),computer science,2023,,9.10/10,98.10/98.10,10.00/10.00,100.0
,3,2,1,2,"Effective Communication, MS-Excel, MS-Office, Python, Adobe Audition, Adobe Dreamweaver, Adobe Illustrator, Business Analysis, Business Research, Data Analytics, Deep Learning, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Enterprise Resource Planning(ERP), Financial literacy, Google AdWords, Google Analytics, Google Cloud Computing, Google Workspace, HTML, Machine Learning, MySQL, Product Management, Project Management, R Programming, Research and Analytics, SQLite, Statistical Modeling, CSS, Data Science, Linux, Natural Language Processing (NLP), SQL",24,Bachelor of Computer Science (B.C.S.),computer science,2023,,,,,100.0
,2,3,1,2,"Computer Vision, Data Analytics, Data Science, Machine Learning, Power BI, SQL, Algorithms, Deep Learning, MS-Excel, Python, Natural Language Processing (NLP)",24,Bachelor of Engineering (B.E),Mechanical Engineering,2024,,7.88/8,,,75.0
,2,2,2,2,"Business Analysis, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, Research and Analytics, SQL",24,Bachelor of Science (B.Sc),computer science,2022,,,,,75.0
,2,2,2,2,"Business Analysis, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Mathematics, Natural Language Processing (NLP), Python, Research and Analytics, SQL, Statistics, Time Management, Artificial Intelligence, Database Management System (DBMS), Power BI, Tableau",24,Master of Science (M.Sc),,2021,,,,,75.0
,2,2,2,2,"C Programming, CSS, English Proficiency (Spoken), English Proficiency (Written), MS-PowerPoint, MS-Word, Tamil Proficiency (Spoken), Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, HTML, Java, JavaFX, JavaScript, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, Power BI, Python, ReactJS, Research and Analytics, SQL, Tamil Proficiency (Written), Teaching, Computer Vision",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2025,8.30/10,,91.00/91.00,,100.0
,3,3,3,3,"Computer Vision, Data Analytics, Data Science, Deep Learning, Machine Learning, Mathematics, Natural Language Processing (NLP), Python, Statistics, Algorithms, Artificial Intelligence, C Programming, Data Structures, MATLAB, MS-Excel, MongoDB, OpenCV, PostgreSQL, SQL, Tableau",24,Integrated B.Tech & M.Tech,Engineering Physics,2025,,8.92/10,72.77/72.77,91.00/91.00,100.0
,2,2,1,1,"English Proficiency (Written), Data Analytics, Data Science, English Proficiency (Spoken), MS-Excel, Machine Learning, Python, Research and Analytics, SQL, Deep Learning, Natural Language Processing (NLP), PostgreSQL",24,B.A,,2024,,,78.00/78.00,88.00/88.00,75.0
,3,2,2,2,"Data Analytics, Python, Data Science, Deep Learning, MS-Excel, MS-PowerPoint, Machine Learning, Natural Language Processing (NLP), Statistics, SQL",24,Bachelor of Science (B.Sc) (Hons.),Computer Science,2021,,7.80/10,92.00/92.00,9.20/9.20,75.0
,3,2,2,2,"Data Structures, Java, Python, C Programming, Computer Vision, Data Analytics, Data Science, Deep Learning, Flask, Machine Learning, Natural Language Processing (NLP), Power BI, SQL, Statistics, Django, MS-Excel",24,B.Tech,Computer Science,2025,,9.10/10,91.00/91.00,,100.0
,3,3,3,3,"Computer Vision, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, Artificial Intelligence, Flask, MySQL",24,Bachelor of Science (B.Sc),Computer Science,2022,,7.50/10,,,75.0
,3,3,2,2,"Accounting, Client Relationship, Computer Vision, Data Analytics, English Proficiency (Spoken), English Proficiency (Written), Financial Modeling, MS-Excel, MS-Office, Machine Learning, OpenCV, Power BI, Python, SQL, Statistics, Tableau, Tally, Time Management, Business Research, Data Science, Deep Learning, Natural Language Processing (NLP), Research and Analytics",24,Bachelor of Business Administration (B.B.A.),Data Analytics,2023,,85.20/100,,,75.0
,2,2,1,2,"C Programming, Computer Vision, Data Science, Data Structures, Deep Learning, Django, Flask, MATLAB, Machine Learning, Neural Networks, Python, SQL, Natural Language Processing (NLP)",24,Bachelor of Engineering (B.E),Electronics And Communication Engineering (ETE),2023,,,91.80/91.80,9.70/9.70,100.0
,2,1,1,1,"Python, Artificial Intelligence, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP)",24,Master of Technology (M.Tech),,2024,8.34/10,,,,75.0
,2,2,1,2,"Data Analytics, Data Science, Deep Learning, Java, Machine Learning, PostgreSQL, Python, Tableau, C Programming, HTML, Natural Language Processing (NLP), OpenCV",24,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2023,,7.80/10,9.42/9.42,9.30/9.30,100.0
,2,2,1,2,"Content Writing, English Proficiency (Spoken), English Proficiency (Written), C Programming, CSS, Canva, Data Structures, Deep Learning, HTML, JavaScript, MATLAB, MS-Excel, MS-Office, Machine Learning, Neural Networks, Python, Natural Language Processing (NLP)",24,Bachelor of Technology (B.Tech),"Computer Science & Engineering, Specializing In Ai & ML",2024,,9.00/10,75.30/75.30,82.00/82.00,87.5
,1,1,1,1,"Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python",24,B.Tech,Computer Science & Engineering,2025,2.00/9,,,,75.0
,3,2,1,1,"Android, C++ Programming, Figma, Kotlin, MS-Excel, Mathematics, OpenCV, Python, User Interface (UI) Development, VS Code, Windows Mobile Application Development, Algorithms, Animation, Arduino, Artificial Intelligence, AutoCAD, Business Research, C#, Computer Vision, Data Analytics, Data Science, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Firebase, Firebase Cloud Messaging, GitHub, HTML, Machine Learning, MySQL, Neural Networks, Node.js, Power BI, R Programming, Research and Analytics, Robot Operating System (ROS), SQL, Search Engine Optimization (SEO), Statistical Modeling, UI & UX Design, Unity 3D, Wireframing, XML, Adobe After Effects, Bootstrap, C Programming, CSS, CakePHP, Database Management System (DBMS), Deep Learning, Django, Flutter, Hibernate (Java), Java, JavaScript, MongoDB, Natural Language Processing (NLP), PHP, REST API, React Native, ReactJS, Swing (Java), TypeScript",24,B.Tech,Artificial Intellience & Data Science,2025,,,95.00/95.00,93.00/93.00,100.0
,2,2,1,2,"Data Analytics, Data Science, Data Structures, Deep Learning, Machine Learning, Python, Natural Language Processing (NLP)",24,Integrated M.Sc.,,2025,,,,,75.0
,2,2,3,3,"Deep Learning, Natural Language Processing (NLP), Neural Networks, Amazon Web Services (AWS), C++ Programming, Data Analytics, Data Science, Machine Learning, Python, Teaching",24,B.Tech,Electronics and Communication,2025,,,,,100.0
,2,2,2,2,"C Programming, C++ Programming, CSS, Computer Networking, Computer Vision, Data Structures, Database Management System (DBMS), Deep Learning, HTML, Image Processing, JavaScript, MATLAB, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV, Python",24,B.Tech,Electronics and Communication,2023,,7.74/10,93.50/93.50,8.80/8.80,87.5
,1,2,1,1,"Effective Communication, Figma, MS-Office, Machine Learning, Market Research, Amazon Web Services (AWS), Cloud Computing, Computer Vision, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Google Analytics, Internet of Things (IoT), Java, MS-Excel, Natural Language Processing (NLP), Python, React Native, ReactJS, SQL, Statistical Modeling, UI & UX Design",24,B.Tech,Computer Science & Engineering,2024,,,75.38/75.38,89.20/89.20,75.0
,3,3,2,3,"Deep Learning, Django, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Amazon Web Server (AWS), Computer Vision, Data Analytics, Data Science, JavaScript, MS SQL Server, MongoDB, Natural Language Processing (NLP), OpenCV, Power BI",24,Bachelor of Technology (B.Tech),Information Technology,2024,,8.03/10,,,75.0
,2,3,3,3,"Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, MS-Excel, MS-Word, Machine Learning, Natural Language Processing (NLP), SQL, Neural Networks, Power BI, Python, Tableau",24,B.Tech,Computer Science & Engineering,2024,8.25/10,,,,75.0
,3,2,2,2,"Python, Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Git, GitHub, Machine Learning, Natural Language Processing (NLP), Neural Networks, PostgreSQL, Power BI, SQL, Statistics, Tableau, Data Structures",24,Master Of Science,Organic Chemistry,2023,6.50/10,,,,75.0
,2,3,3,2,"Machine Learning, Natural Language Processing (NLP), SQL, Algorithms, C++ Programming, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, MS-Excel, MySQL, Python, REST API, SQLite, Computer Vision",24,B.Tech,Instrumentation and Control Engineering,2023,,7.05/10,70.00/70.00,7.20/7.20,100.0
,2,2,2,2,"Computer Vision, English Proficiency (Spoken), English Proficiency (Written), MATLAB, MySQL, Neural Networks, PostgreSQL, SQL, VHDL, Amazon Web Services (AWS), Arduino, Artificial intelligence, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Deep Learning, Flask, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, Statistical Modeling, Statistics, Verilog, Android, Internet of Things (IoT), R Programming",24,B.Tech,Electronics and Communication,2024,,8.80/10,93.60/93.60,,100.0
,1,1,1,1,"Business Analysis, Canva, Data Analytics, MS-Word, MySQL, SQL, Artificial Intelligence, CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, Java, Linux, MS-Excel, MS-Office, Power BI, Tableau, Data Science, Deep Learning, Email Marketing, Jira, MS SQL Server, Machine Learning, Natural Language Processing (NLP), Product Management, Project Management, Python, R Programming, Research and Analytics, Rust, Social Media Marketing",24,B.E Computer Science and Engineering (Artificial Intelligence and machine Learning),,2024,,,93.33/93.33,,100.0
,3,3,3,3,"C++ Programming, Computer Vision, Data Analytics, Deep Learning, English Proficiency (Spoken), GitHub, Hindi Proficiency (Spoken), MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Natural Language Processing (NLP), Python, Stock Trading, Tableau, Artificial intelligence, Data Science, Data Structures, Django, English Proficiency (Written), MySQL, Neural Networks, PostgreSQL, Power BI, SQL, BIG DATA ANALYTICS, FastAPI, Flask, MS SQL Server, NoSQL",3,B.Tech,Artificial Intelligence And Data Science,2024,,9.25/10,86.70/86.70,93.40/93.40,100.0
,2,3,3,2,"C++ Programming, Django, English Proficiency (Written), MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), SQL, CSS, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), HTML, Java, Neural Networks, Python, Tableau, Flask, JavaScript",24,Bachelor of Engineering (B.E),computer science,2024,,,91.40/91.40,10.00/10.00,100.0
,1,1,1,1,"Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Python, Statistics, Tableau",24,Post Graduate Diploma,Data Science And Engineering,2023,,,,,75.0
